id,art_id,name,rarity,life,effect,value,target,effect2,value2,target2,description,text,expansion,,耐久値メモ,枚数メモ,設定値 (effect),日本語説明,補足・デメリット
S012,S012,天罰を刻む雷鳴,2,2,damage,2,enemy_unit_1,,,,"天を穿つ雷鳴は宣告。星の背を裂く巨大な穿光が、万象を等しく塵へと変えてゆく。
幾何学の魔導陣が星殻を焼き切り、物理を蹂躙する天罰を深淵の奥底まで刻んだ。
塵となった星の残滓が虚空を舞い、天の理が不変の刻印として大地に君臨する。",【耐久2】敵ユニット1体に2ダメージを与える。,basic,,,,,,
S013,S013,魂の収穫者,2,2,sp_loss,1,enemy,,,,"神聖な静寂を切り裂くのは、祈りの言葉ではない。
肉体という器を捨て、赤く咲き誇る鮮血の咆哮。
張り巡らされた茨は、吸い上げた魂を繋ぎ止める、逃れ得ぬ檻。",【耐久2】対戦相手のSP-1。,basic,,,,,,
S014,S014,パステル・メルトダウン,2,3,discard_random,1,self,,,,"たった一滴、混ぜる順番を間違えただけだ。
臨界点を超えた魔力が、極彩色の霧となって溶け出し、現実の輪郭を奪ってゆく。
溶けて、混ざって、一つになる。誰も見たことのない、多幸感に満ちた終焉。",【耐久3】自身の手札を1枚破棄。,basic,,,,,,
S015,S015,世界樹の黄金果,3,1,sp_gain,4,self,,,,"理を支える世界樹が、数千年の沈黙を経て、一粒の答えを零した。
滴る黄金は、三千世界の果てより吸い上げられた魔力の結晶。
溢れ出したその奔流は、世界を再定義するための熾烈なる篝火。",【耐久1】SP+4。,basic,,,,,,
S016,S016,絶対隷属の繋縛,3,1,sp_loss,3,enemy,,,,"幾重にも重なる紫紺の円環は、思考を止めるための絶対的な檻。
張り巡らされた鎖の軋みは、自由という概念を根こそぎ粉砕する呪詛の旋律。
跪くことすら許されない。ただ、命じられるままの「道具」へと堕ちてゆく。",【耐久1】対戦相手のSP-3。,basic,,,,,,
S017,S017,鉄塊に芽吹く希望,3,2,sp_gain,2,self,,,,"彼を囲むのは、厚く、冷たく、逃れ得ぬ鉄の壁。
だが、鋼を灼くほどの熱量を持った叫びが、その隙間をこじ開けた。
何重の枷に覆われようとも、命の根源までは縛れない。",【耐久2】SP+2。,basic,,,,,,
S018,S018,黎明の呼び声,3,3,draw,2,enemy,,,,"融解した黄金が渦巻く、新たな理の胎動。
世界を埋め尽くす光の奔流は、昨日までの絶望さえも眩しさで塗り潰してゆく。
約束された朝などいらない。その呼び声こそが、世界を再誕させる。",【耐久3】対戦相手は2枚ドロー。,basic,,,,,,
S019,S019,双極の聖域,4,1,sp_gain,2,self,sp_loss,1,enemy,"白と黒。相反する翼が、沈黙に包まれた神殿を埋め尽くす。
降り積もる羽根は、信じられていた秩序が瓦解してゆく音なき証。
崩れゆく列柱の狭間で、相反する二つの真実が、残酷なほどに美しく混ざり合う。",【耐久1】自身のSP+2。対戦相手のSP-1。,basic,,,,,,
S020,S020,アストラル・ゲート,4,3,damage_all,1,all_units,,,,"それは知性の極致が辿り着いた、時空の綻び。
灯りし眩い残光は、神が綴った書録の一頁を焼き切るためにある。
開かれた門は、たとえ神ですら閉じることは叶わない。",【耐久3】全ユニットに1ダメージ。,basic,,,,,,
S021,S021,禁忌の注入,1,1,,,,,,,"砕かれた魔力が黄金の雫となり、脆い硝子の器へと暴力的に注ぎ込まれてゆく。
それは神の法理を私物化する不遜な試みであり、禁忌という名の精製作業。
溢れ出す輝きは祝福ではない。理を歪め、命を削り出すための致死量の毒だ。",【耐久1】デザイン中,vol2,,,,,,
S022,S022,血の福音,1,1,,,,,,,"深紅の対価は支払われた。泥を噛む絶望の中に、黄金の法理が強制介入する。
救済と呼ぶにはあまりに凶暴で、呪わしいほどに生々しい再生の咆哮。
潰えかけた命を繋ぎ止めるのは、死すら拒絶する剥き出しの執念だ。",【耐久1】デザイン中,vol2,,,,,,
S023,S023,星屑の螺旋舞踏,2,1,,,,,,,"天の星が地に落ちたのではない。森の静寂が、眠れる光を呼び覚ましたのだ。
渦巻く黄金の螺旋は、自然が描く巨大な魔導陣。新たな鼓動が夜の闇を塗り替える。
螺旋の舞踏が最高潮を迎える時、森は神域へと変貌し、外界との繋がりを断絶する。",【耐久1】デザイン中,vol2,,,,,,
S024,S024,泡沫の未来,2,1,,,,,,,"虹色の揺り籠に幽閉された可能性。其々が視る未来は、無数の標本に過ぎない。
理という名の観測眼が、成就せぬ明日を収集し、泡沫の群れとして虚空に放つ。
触れれば弾ける夢の残滓。万象司る法則の中で、未来は美しく、無慈悲に霧散する。",デザイン中,vol2,,,,,,
S025,S025,運命の兄弟,4,1,,,,,,,"一つの世界が始まる前より、この邂逅は定められていた。
二つの運命が重なり合う時,因果は歪み、万物を拒絶する『聖域』へと姿を変える。
――だが忘れるな。その均衡が砕け散る時、真の神話が幕を上げる。",【耐久1】デザイン中,vol2,,,,,,
S026,S026,鏡面を穿つ白銀,4,2,,,,,,,"鏡面を揺らす円環は、止まっていた刻が動き出した合図。
垂直に突き立てられた刃は、揺らぐ世界を繋ぎ止めるための楔。
一滴の衝撃が、数千年の静寂を、逃れ得ぬ変革へと塗り替えてゆく。",【耐久2】デザイン中,vol2,,,,,,
S027,S027,天を断つ雷火,4,2,,,,,,,"音は、遥か後からやってきた。
世界から色彩を奪い、天を二つに割いた白銀の一閃。
地を這う轟鳴が届く頃、見上げるべき「空」は、もうどこにも存在しない。",【耐久2】デザイン中,vol2,,,,,,
S028,S028,万象を屠る巨腕,4,3,,,,,,,"渦巻く空から突き出された巨腕は、逃げ場のない死を地上へと振り下ろす。
鋼の鎧も、唸る魔獣も、魔理が具現した圧倒的な質量の前では塵に等しい。
万象を屠り焦土へと葬り去る。それが魔導師が振るう唯一絶対の権能である。",【耐久3】デザイン中,vol2,,,,,,
S029,S029,地脈より溢れし獄禍,4,3,,,,,,,"静寂は灰塵に帰し、地脈より溢れし穿風が山脈を根こそぎ削ぎ、屠る。
逃げ場など無い。白き死の奔流は、人類が築いた境界線さえも容易く呑み込む。
地形は再定義され、命は塵へと還る。其れが大地の放つ、抗えぬ真理の宣告だ。",【耐久3】デザイン中,vol2,,,,,,
S030,S030,彗星が刻む夜,4,3,,,,,,,"夜は無数に裂かれた。彗星が描く弧は、世界を葬るための巨大な墓標のようだ。
轟音と共に地は震え、熱を帯びた風が吹き抜ける。それは天が下した断罪。
彗星が刻む夜の果てに、孤独な影が立ち尽くす。",【耐久3】デザイン中,vol2,,,,,,
